Cycle number,Reference energy [W.h],Reference power [W],n
1,18.62766732065116,82.83581855439752,2.034226980603058
100,17.781418504223296,78.08353679427357,2.3907367313527623
200,16.8916151186854,70.81321860888407,2.702442258431249
300,16.128032726235553,64.57873118002935,2.825260319818144
400,15.416901327706288,59.13412214725004,2.9033854370248267
500,14.75196662424183,54.241835527175425,2.941326325380151
600,14.226392880657285,49.58849700830495,2.650044204114046
700,13.593837911421826,45.9999159018734,2.7117490729055587
800,13.00779314749285,42.71074927882787,2.7148138805383417
900,12.474427037086592,39.72070504365282,2.632713803060482
1000,11.915081634547837,36.734671579147395,2.732963026693612
